班级id,正确的班级名
13165097,数学A+（4星）西西-安琪H0701班
13165098,数学A+（4星）西西-安琪H0702班
13165109,数学A+（4星）西西-梦婷H0700班
13276866,数学A+（4星）西西-梦婷H0704班
13165101,数学A+（4星）西西-李雪H0700班
13165103,数学A+（4星）西西-李雪H0702班
13193795,数学A+（4星）西西-付鑫H0707班
13165091,数学A+（4星）西西-刘鑫H0700班
13165081,数学A+（4星）西西-陈垚H0700班
13165083,数学A+（4星）西西-陈垚H0702班
13165076,数学A+（4星）西西-可昕H0700班
13165118,数学A+（4星）西西-侯洁H0700班
13165119,数学A+（4星）西西-侯洁H0701班
13165120,数学A+（4星）西西-侯洁H0702班
13165102,数学A+（4星）西西-李雪H0701班
13165114,数学A+（4星）西西-付鑫H0700班
13165115,数学A+（4星）西西-付鑫H0701班
13276867,数学A+（4星）西西-付鑫H0705班
13165093,数学A+（4星）西西-刘鑫H0702班
13165105,数学A+（4星）西西-郭瑛H0700班
13165106,数学A+（4星）西西-郭瑛H0701班
13165107,数学A+（4星）西西-郭瑛H0702班
13165082,数学A+（4星）西西-陈垚H0701班
13165088,数学A+（4星）西西-晨辉H0702班
13165089,数学A+（4星）西西-晨辉H0703班
13276865,数学A+（4星）西西-可昕H0705班
13165123,数学A+（4星）西西-郭瑛H0705班
13130203,数学A+（4星）西西-晨辉Q0703班
13127661,数学A+（4星）西西-可昕Q0700班
13127644,数学A+（4星）西西-侯洁Q0701班
13127632,数学A+（4星）西西-李雪Q0701班
13128669,数学A+（4星）西西-郭瑛Q0705班
13129014,数学A+（4星）西西-郭瑛Q0701班
13127597,数学A+（4星）西西-晨辉Q0700班
13128907,数学A+（4星）西西-晨辉Q0702班
13129603,数学A+（4星）西西-侯洁Q0702班
13127651,数学A+（4星）西西-安琪Q0700班
13127652,数学A+（4星）西西-安琪Q0701班
13128158,数学A+（4星）西西-梦婷Q0700班
13128159,数学A+（4星）西西-梦婷Q0701班
13274185,数学A+（4星）西西-梦婷Q0703班
13127605,数学A+（4星）西西-陈垚Q0700班
13274179,数学A+（4星）西西-陈垚Q0703班
13127662,数学A+（4星）西西-可昕Q0701班
13129523,数学A+（4星）西西-可昕Q0702班
13274184,数学A+（4星）西西-可昕Q0703班
13127643,数学A+（4星）西西-侯洁Q0700班
13130699,数学A+（4星）西西-侯洁Q0704班
13129525,数学A+（4星）西西-安琪Q0702班
13129125,数学A+（4星）西西-梦婷Q0702班
13127631,数学A+（4星）西西-李雪Q0700班
13128514,数学A+（4星）西西-付鑫Q0700班
13128904,数学A+（4星）西西-付鑫Q0701班
13130625,数学A+（4星）西西-付鑫Q0702班
13274186,数学A+（4星）西西-付鑫Q0703班
13127611,数学A+（4星）西西-刘鑫Q0700班
13127612,数学A+（4星）西西-刘鑫Q0701班
13274180,数学A+（4星）西西-刘鑫Q0703班
13128668,数学A+（4星）西西-郭瑛Q0704班
13130721,数学A+（4星）西西-郭瑛Q0702班
13129134,数学A+（4星）西西-陈垚Q0702班
13127598,数学A+（4星）西西-晨辉Q0701班
13130222,数学A+（4星）西西-李雪Q0702班
13129524,数学A+（4星）西西-刘鑫Q0702班
13128909,数学A+（4星）西西-郭瑛Q0700班
13128908,数学A+（4星）西西-陈垚Q0701班
13140192,数学A+（4星）爽仔-陈浩Q0900班
13162945,数学A+（4星）爽仔-喜园H0900班
13162946,数学A+（4星）爽仔-喜园H0901班
13162919,数学A+（4星）爽仔-马守源H0910班
13162924,数学A+（4星）爽仔-陈浩H0902班
13162927,数学A+（4星）爽仔-思雨H0901班
13162928,数学A+（4星）爽仔-思雨H0902班
13162941,数学A+（4星）爽仔-王岗H0901班
13162942,数学A+（4星）爽仔-王岗H0902班
13162947,数学A+（4星）爽仔-喜园H0902班
13162935,数学A+（4星）爽仔-马守源H0900班
13162936,数学A+（4星）爽仔-马守源H0901班
13162922,数学A+（4星）爽仔-陈浩H0900班
13162926,数学A+（4星）爽仔-思雨H0900班
13162940,数学A+（4星）爽仔-王岗H0900班
13162920,数学A+（4星）爽仔-马守源H0909班
13162923,数学A+（4星）爽仔-陈浩H0901班
13162937,数学A+（4星）爽仔-马守源H0902班
13128693,数学A+（4星）爽仔-思雨Q0902班
13126782,数学A+（4星）爽仔-马守源Q0900班
13126783,数学A+（4星）爽仔-马守源Q0901班
13128692,数学A+（4星）爽仔-思雨Q0901班
13126786,数学A+（4星）爽仔-陈浩Q0900班
13126787,数学A+（4星）爽仔-陈浩Q0901班
13129775,数学A+（4星）爽仔-陈浩Q0902班
13128691,数学A+（4星）爽仔-思雨Q0900班
13128216,数学A+（4星）爽仔-王岗Q0900班
13128217,数学A+（4星）爽仔-王岗Q0901班
13129339,数学A+（4星）爽仔-喜园Q0901班
13126785,数学A+（4星）爽仔-马守源Q0902班
13128353,数学A+（4星）爽仔-喜园Q0900班
13141181,数学A+（4星）吴峥-慧茹Q0700班
13292122,数学A+（4星）吴峥-雅静Q0700班
13275686,数学A+（4星）吴峥-海涛H0702班
13275604,数学A+（4星）吴峥-李彤H0701班
13275754,数学A+（4星）吴峥-涵超H0701班
13275684,数学A+（4星）吴峥-海涛H0700班
13274336,数学A+（4星）吴峥-慧茹H0703班
13275573,数学A+（4星）吴峥-雅静H0700班
13275632,数学A+（4星）吴峥-品楠H0702班
13275712,数学A+（4星）吴峥-鑫迪H0701班
13275815,数学A+（4星）吴峥-肖影H0701班
13275603,数学A+（4星）吴峥-李彤H0700班
13274480,数学A+（4星）吴峥-吴雯H0702班
13138043,数学A+（4星）吴峥-慧茹Q0700班
13246148,数学A+（4星）吴峥-慧茹Q0702班
13248698,数学A+（4星）吴峥-鑫迪Q0701班
13248769,数学A+（4星）吴峥-张璇Q0700班
13246196,数学A+（4星）吴峥-欣欣Q0702班
13138044,数学A+（4星）吴峥-慧茹Q0701班
13248584,数学A+（4星）吴峥-李彤Q0701班
13248554,数学A+（4星）吴峥-雅静Q0701班
13248611,数学A+（4星）吴峥-品楠Q0701班
13248739,数学A+（4星）吴峥-涵超Q0700班
13248741,数学A+（4星）吴峥-涵超Q0702班
13248699,数学A+（4星）吴峥-鑫迪Q0702班
13248770,数学A+（4星）吴峥-张璇Q0701班
13248803,数学A+（4星）吴峥-肖影Q0700班
13248804,数学A+（4星）吴峥-肖影Q0701班
13227350,数学A+（4星）吴峥-吴雯Q0700班
13246303,数学A+（4星）吴峥-吴雯Q0702班
13248667,数学A+（4星）吴峥-海涛Q0700班
13248668,数学A+（4星）吴峥-海涛Q0701班
13194084,数学A+（4星）吴峥-欣欣Q0701班
13248583,数学A+（4星）吴峥-李彤Q0700班
13248553,数学A+（4星）吴峥-雅静Q0700班
13248555,数学A+（4星）吴峥-雅静Q0702班
13248610,数学A+（4星）吴峥-品楠Q0700班
13248612,数学A+（4星）吴峥-品楠Q0702班
13248740,数学A+（4星）吴峥-涵超Q0701班
13248697,数学A+（4星）吴峥-鑫迪Q0700班
13248805,数学A+（4星）吴峥-肖影Q0702班
13248669,数学A+（4星）吴峥-海涛Q0702班
13248585,数学A+（4星）吴峥-李彤Q0702班
13248771,数学A+（4星）吴峥-张璇Q0702班
13227351,数学A+（4星）吴峥-吴雯Q0701班
13194083,数学A+（4星）吴峥-欣欣Q0700班
